training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9996,0,0.0060,0
1,0,0.8515,0,1.8823,0
2,0,0.7067,0,2.3977,0
3,0,0.7863,0,0.9215,0
4,0,0.4213,0,6.8265,0
5,0,0.3290,0,7.3958,0
